Unnamed: 0,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,0.086504,-1.172129,1.18166,0.033538,0.921579,-0.386739,1.461974,-4.623707,1.674768,-0.067855,-0.048792,0.413061
1,0.059453999999999986,-1.146609,1.2482540000000002,0.024456,0.911373,-0.410853,0.969699,-4.170838,1.271234,-0.160289,-0.187298,0.645487
2,0.029339,-1.13004,1.295114,0.012515,0.904429,-0.42644,0.704113,-3.355548,0.880569,-0.2177,-0.262095,0.58739
3,-0.00434,-1.119799,1.327633,-0.001892,0.900013,-0.43586,0.353412,-3.073109,0.617112,-0.186981,-0.207996,0.391212
4,-0.041066000000000005,-1.118417,1.3512620000000002,-0.017945,0.89941,-0.436738,-0.076783,-2.783454,0.482344,-0.15376199999999998,-0.193431,0.4648600000000001
5,-0.076909,-1.124464,1.369579,-0.033166,0.902036,-0.430384,-0.391939,-2.5155830000000003,0.367636,-0.104941,-0.233198,0.4762520000000001
6,-0.11213499999999997,-1.137261,1.381474,-0.047007,0.907486,-0.417444,-0.751645,-2.153957,0.288817,-0.053396000000000006,-0.290161,0.366342
7,-0.145242,-1.157572,1.386993,-0.058119,0.915831,-0.397336,-1.1496,-1.7527990000000002,0.213952,-1.7e-05,-0.263808,0.258603
8,-0.18075,-1.18569,1.381939,-0.067531,0.926759,-0.369538,-1.538997,-1.420616,0.064459,0.025554,-0.25676,0.203202
9,-0.227511,-1.219929,1.357022,-0.077525,0.939075,-0.334855,-1.892587,-1.037094,-0.167101,0.053813,-0.10738,0.034638
10,-0.288029,-1.256848,1.310357,-0.087723,0.951122,-0.296095,-1.962871,-0.6878810000000001,-0.322932,0.107987,0.133168,-0.246477
11,-0.36079,-1.285167,1.249577,-0.099465,0.959485,-0.263621,-1.338184,-0.91756,-0.436847,0.193383,0.270542,-0.550268
12,-0.420166,-1.2926,1.218548,-0.112022,0.961552,-0.250736,0.129679,-1.753035,-0.03669,0.510703,0.474819,-0.523694
13,-0.386888,-1.273906,1.292922,-0.110381,0.956251,-0.270925,1.768479,-1.891815,1.012178,0.6190939999999999,0.162142,-0.233149
14,-0.28765,-1.250825,1.4305370000000002,-0.08923400000000001,0.949244,-0.301616,1.700862,-1.38361,1.851745,0.585359,-0.03947,-0.061055
15,-0.17003,-1.238264,1.57456,-0.055237,0.945219,-0.32173,0.610705,-0.545912,2.16566,0.377777,-0.228666,0.8183739999999999
16,-0.101557,-1.254034,1.6527619999999998,-0.031580000000000004,0.950249,-0.309887,-1.198424,-0.460537,0.5014430000000001,0.034525,0.859383,0.92886
