Unnamed: 0,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,2.135357,-1.138555,1.6789,0.353903,0.908029,0.22413400000000006,-0.255821,0.499133,-0.725292,0.77894,0.05181,-1.6571630000000002
1,2.162745,-1.1529280000000002,1.7393299999999998,0.336766,0.913956,0.226435,-1.015571,-1.7246240000000002,-1.266134,0.61378,-0.112152,-0.879374
2,2.175561,-1.166584,1.7706509999999998,0.323538,0.919413,0.223615,0.784464,-0.237245,-0.759811,0.41366,-0.630365,-0.428647
3,2.105621,-1.194708,1.696332,0.315997,0.930108,0.187202,2.235062,-0.180857,-0.135523,0.372556,-0.915796,-0.8590459999999999
4,2.021151,-1.202365,1.626949,0.324243,0.932893,0.156769,0.528382,-1.351467,0.51208,0.139503,-1.002214,-0.005295
5,1.972219,-1.188391,1.609924,0.343489,0.92777,0.145801,0.09245,-1.612375,0.868292,-0.055098,-1.219167,0.259548
6,1.853967,-1.180464,1.505978,0.365342,0.924783,0.106311,2.931591,-0.8138340000000001,1.174452,-0.15551900000000002,-1.049981,-0.316333
7,1.639218,-1.167506,1.288727,0.391529,0.919775,0.026831,4.154419,-0.861317,1.332606,-0.06467,-0.23522,-0.550864
8,1.443387,-1.1433209999999998,1.112916,0.411214,0.910015,-0.052678,3.24022,-2.102153,1.007343,0.097682,0.776768,0.245091
9,1.267393,-1.111725,0.962543,0.422876,0.8964639999999999,-0.13239,3.936861,-1.817291,0.82811,-0.072626,1.064809,0.5314220000000001
10,1.101826,-1.054842,0.804797,0.440099,0.869822,-0.222985,4.473553,-0.978907,1.424716,0.370051,1.50794,-0.027213
11,1.00321,-0.989586,0.713065,0.462948,0.835799,-0.295161,2.913993,-1.1903549999999998,2.10737,0.694538,1.800218,-0.191259
12,0.969057,-0.913914,0.716375,0.503391,0.7919,-0.345675,1.900769,-2.5316560000000004,3.546247,0.74464,1.499192,-0.283948
13,0.923728,-0.836408,0.7282529999999999,0.534669,0.742241,-0.40399,1.948924,-2.68777,3.118426,0.507338,1.227577,0.1761
14,0.87749,-0.7766310000000001,0.742244,0.548609,0.7008800000000001,-0.455845,1.080339,-3.124349,2.228431,0.064001,1.221147,0.022221
15,0.812525,-0.749899,0.767311,0.531275,0.681565,-0.503206,-0.435559,-4.564771,1.454841,-0.092265,0.734191,0.055803
16,0.739146,-0.7542760000000001,0.8316540000000001,0.490939,0.684761,-0.5385909999999999,-2.523591,-6.617124,1.558254,-0.057178,0.046089,0.168154
17,0.6637890000000001,-0.787682,0.918143,0.434657,0.70872,-0.555689,-3.5560480000000005,-6.314403,1.076364,-0.064265,-0.634409,0.497873
18,0.638653,-0.8254600000000001,0.985827,0.404296,0.7348600000000001,-0.544542,-2.363229,-1.999224,0.639059,-0.721129,-1.366299,0.815263
19,0.690301,-0.839642,1.043034,0.42519,0.744404,-0.5148560000000001,-1.527197,2.079785,1.494249,-1.335087,-1.880696,1.03219
20,0.8234870000000001,-0.846777,1.107173,0.485884,0.74915,-0.450213,-1.859385,4.931998,0.866569,-1.34323,-1.275105,0.835558
21,0.951098,-0.8697540000000001,1.1472950000000002,0.525076,0.764171,-0.374617,-1.46232,4.7721480000000005,-0.526619,-0.908164,-0.8308209999999999,0.8711840000000001
22,1.039131,-0.897734,1.145574,0.537334,0.7819159999999999,-0.316037,-0.29373,4.133811,-1.479038,-0.6018180000000001,-0.497126,0.440625
23,1.078203,-0.915985,1.114563,0.536604,0.7931630000000001,-0.288008,0.965921,2.268158,-0.884599,-0.29540900000000003,-0.286693,-0.104722
24,1.078977,-0.890826,1.063358,0.554245,0.777591,-0.296925,2.543166,2.287345,1.205153,0.616272,0.092984,-0.100414
25,1.129262,-0.8339139999999999,1.042435,0.607537,0.740567,-0.287157,1.044605,3.987236,2.574786,0.343955,-0.281094,0.221025
26,1.221818,-0.806251,1.068969,0.6504840000000001,0.721697,-0.236693,-1.1207049999999998,3.303811,0.338636,0.262113,0.802976,0.596327
27,1.151317,-0.8516,0.938021,0.601665,0.752336,-0.268311,4.120723,2.609192,-5.780025,1.207936,4.075027,-0.530593
28,1.235656,-0.931226,0.925285,0.563645,0.8023520000000001,-0.196305,-2.894804,5.226318,-2.302978,-0.837784,1.769654,1.648087
29,1.3161969999999998,-0.958541,0.958041,0.556188,0.818354,-0.144746,-0.024071,2.129821,-0.330521,-1.228201,-0.397242,1.062059
30,1.3987690000000002,-0.94832,0.980912,0.574442,0.812437,-0.099806,-1.178089,4.20702,0.956646,-0.673914,-0.7353350000000001,0.783583
31,1.572924,-0.943822,1.077189,0.586696,0.809806,0.001248,-3.388776,4.70934,-0.199232,-0.5753590000000001,-0.7519600000000001,0.123004
32,1.731844,-0.976175,1.170038,0.552946,0.828361,0.08982899999999999,-1.788023,3.736927,-2.694989,-0.30676,-0.060752,0.299164
33,1.853279,-1.038904,1.245329,0.4870640000000001,0.861849,0.141368,-1.384003,2.122722,-3.76473,0.039135,1.065626,0.625859
34,1.941853,-1.081493,1.382643,0.438024,0.882661,0.170426,-3.014904,-3.787242,-2.399088,0.529597,1.775756,-0.131822
35,2.0237380000000003,-1.0864969999999998,1.496413,0.418641,0.885001,0.203747,-1.765157,1.222631,-0.791241,2.786483,0.542413,-1.723858
36,2.091638,-1.092851,1.5306030000000002,0.398966,0.887942,0.228879,-0.021242,1.138613,-1.005415,1.495199,0.16633399999999998,-0.835385
37,2.125952,-1.115509,1.574853,0.373683,0.898135,0.231766,-0.559014,-0.396422,-1.344763,1.270757,0.12383800000000003,-0.8808590000000001
38,2.144986,-1.132773,1.59079,0.356131,0.905592,0.230379,0.913534,0.293637,-0.697633,0.867044,-0.439146,-0.8639389999999999
39,2.095445,-1.15196,1.543774,0.351997,0.913563,0.203718,1.255541,-0.8244389999999999,-0.0454,0.501946,-1.003758,-0.590635
40,2.019064,-1.149735,1.485582,0.368346,0.912656,0.177145,1.007758,-1.21255,1.0547030000000002,0.230119,-1.305188,-0.111212
41,1.919887,-1.136397,1.395384,0.395481,0.907123,0.143954,1.837946,-0.613819,1.388747,0.057126,-1.477909,-0.033083999999999995
42,1.782057,-1.11978,1.260565,0.42619,0.9000049999999999,0.091401,2.915555,-1.203815,1.744202,-0.286892,-0.992747,-0.542085
43,1.610739,-1.094115,1.119613,0.458467,0.888523,0.018322,2.910131,-2.807459,1.58385,-0.393754,-0.5437649999999999,-0.797085
44,1.421237,-1.061971,0.9952,0.481713,0.873318,-0.072587,3.053678,-4.799129,1.360942,-0.522454,-0.199993,-0.264815
45,1.232513,-1.0248389999999998,0.902941,0.489809,0.8546309999999999,-0.172318,2.475863,-5.581546,1.189129,-0.072359,0.540603,0.316514
46,1.072516,-0.981544,0.814705,0.488165,0.831356,-0.265597,3.78369,-3.243799,0.722046,0.19343,1.03371,1.231432
47,0.917608,-0.916577,0.6752779999999999,0.483272,0.793523,-0.369823,5.7783940000000005,-1.406849,0.753922,-0.043773,1.076564,0.78915
48,0.861144,-0.813592,0.620567,0.521069,0.726759,-0.447559,3.440678,0.334505,4.200673,1.287434,2.130327,-0.494702
49,0.8794190000000001,-0.705486,0.6679430000000001,0.586479,0.648404,-0.4854020000000001,1.791691,-1.743798,5.349771,1.13456,1.446384,-0.698741
50,0.826636,-0.622556,0.717018,0.597641,0.583113,-0.550276,0.7952060000000001,-5.756217,3.699686,0.8308260000000001,1.466356,-0.073823
51,0.693751,-0.5739850000000001,0.760053,0.536954,0.542983,-0.64564,0.438432,-8.701007,2.504559,0.913822,0.603563,0.614069
52,0.528792,-0.559045,0.791784,0.427688,0.5303770000000001,-0.7319720000000001,-0.721677,-9.048012,1.046254,0.30217,-0.09216,0.5461050000000001
