Gender,calories_scone,comfort_food,comfort_food_reasons,weight,,,,,
1,420,"chocolate, chips, ice cream","stressed, boredom, anger",155,,,,,
1,420,"frozen yogurt, pizza, fast food","stressed, sadness",125,,,,,
1,420,"pizza, cheese, ice cream",boredom,240,,,,,
1,420,"Ice cream, chocolate, chips ","stressed, boredom",190,,,,,
1,980,"brownies , soda.",stressed,190,,,,,
2,420,"chocolate, ice cream, french fries, pretzels","stressed, boredom",180,,,,,
1,420,"ice cream, cheeseburgers, chips.",stressed,137,,,,,
1,420,"donuts, ice cream, chips",boredom,180,,,,,
1,315,"cheese, chocolate, pasta ","stressed, anger , sadness ",125,,,,,
1,980,pasta,boredom,116,,,,,
1,420,"chocolate, pasta, soup, chips, popcorn","sadness, stressed",110,,,,,
2,420,"cookies, popcorn, , chips","sadness, boredom",264,,,,,
1,420,"ice cream, cake, chocolate","stressed,  boredom",123,,,,, 
2,420,"pizza, fruit, spaghetti, chicken , potatoes  ",boredom,185,,,,,
2,980,"cookies, donuts",boredom,180,,,,,
1,420,"saltfish, Kit Kat ",stressed ,145,,,,,
2,980,"chips, cookies, ice cream",boredom,170,,,,,
1,980,"chocolate, ice crea ","sadness, stressed",135,,,,,
2,420,"pizza, wings, chinese","boredom, sadness",165,,,,,
2,980,"fast food, pizza, subs",happiness,175,,,,,
2,315,"chocolate, sweets, ice cream",boredom,195,,,,,
2,420,"burgers, chips, cookies","sadness, depressed ",185,,,,,
2,420,"chilli, soup, pot pie","stressed , boredom ",185,,,,,
1,420,"soup, pasta, cake",sadness,105,,,,,
1,420,"chocolate, ice cream, milkshake, cookies",boredom,125,,,,,
2,420,"chips, ice cream",boredom,160,,,,,
2,980,"chicken, pizza ",boredom,175,,,,,
2,420,"cookies, hot chocolate, beef jerky",boredom,180,,,,,
2,420,"tomato soup, pizza","boredom, anger",167,,,,,
1,420,"cookies,  brownies, french fries, ","stressed, boredom",115,,,,,
2,420,"chips , pepsi",boredom,205,,,,,
2,315,sushi,boredom,185,,,,,
1,420,"ice cream, cookies,  chinese food, , chicken nuggets ","boredom, sadness",128,,,,,
1,420,"french fries, chips, ice cream","boredom, stressed, sadness",150,,,,,
1,420,"peanut butter , banana, omelet",boredom,150,,,,,
1,420,"pizza, doughnuts",boredom,150,,,,,
1,420,"chocolate, chips",stressed,170,,,,,
1,980,"chocolate, popcorn, ice cream","boredom, stressed",150,,,,,
2,980,"chocolate, chipotle ",tired ,175,,,,,
2,315,"pizza, ice cream, fries, cereal, cookies  ",depressed,140,,,,,
1,980,"ice cream, chocolate",tired ,120,,,,,
1,420,"ice cream, cookies, cheese",boredom,135,,,,,
1,980,"ice cream, cereal, , salt , vinegar chips ",boredom,100,,,,,
1,420,"potato chips, ice cream, chocolate, cookies","stressed, boredom",170,,,,,
1,315,"cheese, fried chicken, cornbread",boredom,113,,,,,
2,420,"popcorn, chips, fries ",anger,168,,,,,
2,980,wegmans cookies,boredom,145,,,,,
2,315,"pizza, ice cream, chips",stressed,155,,,,,
2,315,"fried chicken. mashed potatoes, mac , cheese",stressed,150,,,,,
2,420,"popcorn, chex Mix, pizza","stressed, boredom",169,,,,,
2,980,burger,anger,185,,,,,
2,420,"pizza, chocolate, , ice cream ",anger,200,,,,,
2,980,"fries, chips, fried chicken, pizza, grapes",boredom,265,,,,,
2,420,"peanut butter, pretzals, garlic bread","stressed, anger , boredom",165,,,,,
1,315,"chips, dip, fries, pizza",stressed,192,,,,,
2,315,"pizza, ice cream",boredom,175,,,,,
1,980,"pizza, chocolate",happiness,140,,,,,
1,420,"chocolate, ice cream, pasta","stressed, boredom, sadness",155,,,,,
1,420,"Chips , ice cream. ",boredom,155,,,,,
1,420,"peanut butter, dessets, pretzels","sadness, boredom",135,,,,,
1,980,"macaroons, truffles, peanut butter,chocolate, ice cream",sadness,118,,,,,
2,980,"ice cream, cookies","boredom, sadness",210,,,,,
1,980,"carrots , ranch, pretzels, dark chocolate ",sadness,180,,,,,
1,420,"cookies, nutella, ice cream, coffee, fruit ",happiness,140,,,,,
1,315,ice cream,boredom,112,,,,,
1,420,"chocolate, popcorn, icecream",sadness,125,,,,,
1,420,"icecream, cake, mozzarella sticks, pierogies ",boredom,144,,,,,
1,315,"chips, cheese, pizza, french fries ","stressed, sadness, boredom ",145,,,,,
1,420,"pizza, burritos, slim jims",stressed,130,,,,,
1,980,"broccoli, spaghetti squash, quinoa, , grilled chicken",sadness,140,,,,,
1,420,"chocolate, ice cream, cookie dough",boredom,140,,,,,
2,980,"pizza, pretzels","boredom, anger, happiness",140,,,,,
2,420,"chips, ice cream","boredom, stressed",200,,,,,
1,420,"cheese, potato soup, ice cream, chips , cheese","sadness, stressed, boredom",120,,,,,
1,420,"chocolate, pizza, , mashed potatoes","boredom , stressed",150,,,,,
2,420,"pizza, cookies, steak",boredom,200,,,,,
1,420,"chocolate, fruit, , ice cream","stressed, boredom",135,,,,,
2,420,"chips, sweets, popcorn",boredom,145,,,,,
1,420,"cookies, burgers, chicken noodle soup, ice cream","happiness, hunger, sadness",130,,,,,
1,420,"cake, French fries, chicken nuggets","boredom, sadness",190,,,,,
1,315,"pizza, ice cream, cookies",boredom,170,,,,,
1,420,"mashed potatoes, pasta","boredom, sadness",127,,,,,
1,420,"pasta dishes, cheesecake, pancakes","sadness, boredom",167,,,,,
1,315,"icecream, pizza, cookies",stressed,140,,,,,
1,420,"chinese food, moes, sponge, homemade lasagne ","boredom, sadness ",190,,,,,
2,420,"pizza, pasta, mac , cheese",sadness,155,,,,,
2,980,"little debbie snacks, donuts, pizza",happiness,175,,,,,
1,420,"carrots, plantain chips, almonds, popcorn ","stressed, boredom",129,,,,,
2,420,"chips, ice cream, fruit snacks",boredom,260,,,,,
1,420,"macaroni , cheese, chicken noodle soup, pizza","boredom , stressed",135,,,,,
2,420,"chocolate, chips, icecream, french fries, pizza","stressed, sadness, boredom",190,,,,,
2,420,"lasagna, chinese food","boredom, sadness",165,,,,,
2,420,"chinese food, mcdonalds",happiness,175,,,,,
2,420,"doritos, icecream",boredom,184,,,,,
2,420,"icecream, cake, pop, pizza, , milkshakes","happiness, sadness",210,,,,,
1,420,"pizza, icecream , french fries ",anger,155,,,,,
2,315,"soup, cake",depressed,185,,,,,
1,420,"frosted brownies, chicken nuggs",sadness,165,,,,,
1,420,"watermelon, grapes, ice cream","sadness, boredom",125,,,,,
1,420,"macaroni , stuffed peppers, hamburgers, french fries","boredom, stressed",160,,,,,
1,420,"pizza, mashed potatoes, spaghetti","anger, sadness",135,,,,,
1,420,"dark chocolate, terra chips",anger,130,,,,,
1,420,"chips, chocolate, ,mozzarella sticks ","boredom, sadness",230,,,,,
1,420,"icecream, chips,","boredom, anger",125,,,,,
1,315,"pizza, soda, chocolate brownie, chicken tikka masala , butter naan ","stressed , sadness",130,,,,,
1,420,"chocolate, pasta, cookies",stressed,165,,,,,
