Gender,calories_scone,comfort_food,comfort_food_reasons,weight
1,420,"chocolate, chips, ice cream",stressed,155
1,420,"chocolate, chips, ice cream",boredom,155
1,420,"chocolate, chips, ice cream", anger,155
1,420,"frozen yogurt, pizza, fast food",stressed,125
1,420,"frozen yogurt, pizza, fast food",sadness,125
1,420,"pizza, cheese, ice cream",boredom,240
1,420,"Ice cream, chocolate, chips ",stressed,190
1,420,"Ice cream, chocolate, chips ", boredom,190
1,980,"brownies , soda.",stressed,190
2,420,"chocolate, ice cream, french fries, pretzels",stressed,180
2,420,"chocolate, ice cream, french fries, pretzels", boredom,180
1,420,"ice cream, cheeseburgers, chips.",stressed,137
1,420,"donuts, ice cream, chips",boredom,180
1,315,"cheese, chocolate, pasta ",stressed ,125
1,315,"cheese, chocolate, pasta ", anger  ,125
1,315,"cheese, chocolate, pasta ",sadness ,125
1,980,pasta,boredom,116
1,420,"chocolate, pasta, soup, chips, popcorn",sadness,110
1,420,"chocolate, pasta, soup, chips, popcorn", stressed,110
2,420,"cookies, popcorn, , chips",sadness,264
2,420,"cookies, popcorn, , chips", boredom,264
1,420,"ice cream, cake, chocolate",stressed,123
1,420,"ice cream, cake, chocolate",boredom,123
2,420,"pizza, fruit, spaghetti, chicken , potatoes  ",boredom,185
2,980,"cookies, donuts",boredom,180
1,420,"saltfish, Kit Kat ",stressed ,145
2,980,"chips, cookies, ice cream",boredom,170
1,980,"chocolate, ice crea ",sadness,135
1,980,"chocolate, ice crea ", stressed,135
2,420,"pizza, wings, chinese",boredom,165
2,420,"pizza, wings, chinese", sadness,165
2,980,"fast food, pizza, subs",happiness,175
2,315,"chocolate, sweets, ice cream",boredom,195
2,420,"burgers, chips, cookies",sadness,185
2,420,"burgers, chips, cookies",depressed ,185
2,420,"chilli, soup, pot pie",stressed ,185
2,420,"chilli, soup, pot pie", boredom ,185
1,420,"soup, pasta, cake",sadness,105
1,420,"chocolate, ice cream, milkshake, cookies",boredom,125
2,420,"chips, ice cream",boredom,160
2,980,"chicken, pizza ",boredom,175
2,420,"cookies, hot chocolate, beef jerky",boredom,180
2,420,"tomato soup, pizza",boredom,167
2,420,"tomato soup, pizza",anger,167
1,420,"cookies,  brownies, french fries, ",stressed,115
1,420,"cookies,  brownies, french fries, ",boredom,115
2,420,"chips , pepsi",boredom,205
2,315,sushi,boredom,185
1,420,"ice cream, cookies,  chinese food, , chicken nuggets ",boredom,128
1,420,"ice cream, cookies,  chinese food, , chicken nuggets ", sadness,128
1,420,"french fries, chips, ice cream",boredoms,150
1,420,"french fries, chips, ice cream",stressed,150
1,420,"french fries, chips, ice cream", sadness,150
1,420,"peanut butter , banana, omelet",boredom,150
1,420,"pizza, doughnuts",boredom,150
1,420,"chocolate, chips",stressed,170
1,980,"chocolate, popcorn, ice cream",boredom,150
1,980,"chocolate, popcorn, ice cream",stressed,150
2,315,"pizza, ice cream, fries, cereal, cookies  ",depressed,140
1,420,"ice cream, cookies, cheese",boredom,135
1,980,"ice cream, cereal, , salt , vinegar chips ",boredom,100
1,420,"potato chips, ice cream, chocolate, cookies",stressed,170
1,420,"potato chips, ice cream, chocolate, cookies", boredom,170
1,315,"cheese, fried chicken, cornbread",boredom,113
2,420,"popcorn, chips, fries ",anger,168
2,980,wegmans cookies,boredom,145
2,315,"pizza, ice cream, chips",stressed,155
2,315,"fried chicken. mashed potatoes, mac , cheese",stressed,150
2,420,"popcorn, chex Mix, pizza",stressed,169
2,420,"popcorn, chex Mix, pizza",boredom,169
2,980,burger,anger,185
2,420,"pizza, chocolate, , ice cream ",anger,200
